Gene names	RBC	Plasma	Matrisome 1	Matrisome 2	Matrisome 3	Plasma 1	Subcellular location [CC]
Fgb	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Fn1	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Fgg	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	caog	Secreted
Fga	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Vtn	RBC	Plasma	Core matrisome	ECM Glycoproteins	matricellular	comp	Secreted
Igfals	RBC	Plasma	Core matrisome	ECM Glycoproteins	matricellular?	carrier	Secreted
Fbln1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Ecm1	NA	Plasma	Core matrisome	ECM Glycoproteins	Other ECM	NA	Secreted
Efemp1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Vwf	RBC	Plasma	Core matrisome	ECM Glycoproteins	NA	coag	Secreted
Lum	RBC	Plasma	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Thbs1	RBC	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Thbs4	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Endoplasmic reticulum
Adipoq	RBC	Plasma	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Postn	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Golgi apparatus
Sparcl1	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Col1a1	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	ECM	Secreted
Tgfbi	NA	Plasma	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
Igfbp4	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	carrier	Secreted
Igfbp3	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	carrier	Secreted
Mfap4	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbln5	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Comp	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Efemp2	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Nid1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Col3a1	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Prg4	NA	Plasma	Core matrisome	Proteoglycans	NA	NA	Secreted
Col1a2	NA	Plasma	Core matrisome	Collagens	Fibrillar Collagen	NA	Secreted
Dspp	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Spp1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Igfbp2	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Tnc	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
Fgl1	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	coag	Secreted
Dpt	NA	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mmrn2	NA	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Reln	NA	Plasma	Core matrisome	ECM Glycoproteins	Protease	NA	Secreted
Mmrn1	RBC	Plasma	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
Acan	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Agrn	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Cell junction
Hspg2	NA	NA	Core matrisome	Proteoglycans	Structural ECM	BM	Secreted
Bgn	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Cilp	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Cilp2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Chad	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Chadl	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Dcn	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Eln	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emid1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin1	RBC	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Emilin3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbn1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbn2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fgl2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fmod	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Fbln2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Fbln7	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Hapln1	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln2	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln3	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Hapln4	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Lama1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama4	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lama5	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamb3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc1	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Lamc3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	BM	Secreted
Matn2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Matn4	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mfap3	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Cell membrane
Mfap2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Mfap5	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Nid2	NA	NA	Core matrisome	ECM Glycoproteins	Structural ECM	NA	Secreted
Omd	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Prelp	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Vcan	NA	NA	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
Ltbp1	RBC	NA	Core matrisome	ECM Glycoproteins	Signalling	NA	Secreted
