Gene_Symbol	Protein_length	Division	Category	Secretome
Tulp2	562	Cytosol	Cytoplasm	Non-secretome
Map1b	2464	Cytosol	Cytoplasm	Non-secretome
Tnk2	1055	Plasma membrane	Cell membrane	Non-secretome
Ciao1	339	Cytosol	Cytoplasm	Non-secretome
Cln8	288	ER	Endoplasmic reticulum membrane	Non-secretome
Slc6a8	640	Unknown	Membrane	Non-secretome
Actb	375	Cytosol	Cytoplasm	Non-secretome
Slurp1	110	Secreted	Secreted	Non-secretome
Rom1	351	Other	Photoreceptor inner segment membrane	Non-secretome
Medag	303	Cytosol	Cytoplasm	Non-secretome
Rpl12	165	Cytosol	Cytoplasm	Non-secretome
Cyb561	250	Cytosol	Cytoplasmic vesicle	Non-secretome
Iqce	778	Unknown	Cell projection	Non-secretome
Pcdhb6	772	Plasma membrane	Cell membrane	Non-secretome
Golga3	1487	Cytosol	Cytoplasm	Non-secretome
Terb2	218	Chromatin	Chromosome	Non-secretome
Gzmd	252	Unknown	Cytolytic granule	Non-secretome
Actrt1	376	Cytosol	Cytoplasm	Non-secretome
Kif5b	963	Cytosol	Cytoplasm	Non-secretome
Mcoln1	580	Unknown	Late endosome membrane	Non-secretome
Trim54	366	Cytosol	Cytoplasm	Non-secretome
Rpa3	121	Nucleus	Nucleus	Non-secretome
Tpm2	284	Cytosol	Cytoplasm	Non-secretome
Polg2	459	Other	Mitochondrion	Non-secretome
Defb3	63	Secreted	Secreted	Non-secretome
Adgrb2	1561	Plasma membrane	Cell membrane	Non-secretome
Mstn	376	Secreted	Secreted	Non-secretome
Olah	265	Cytosol	Cytoplasm	Non-secretome
Tnrc18	2878	Nucleoplasm	Nucleoplasm	Non-secretome
Trim75	467	Unknown	Unknown	Non-secretome
Oas1a	367	Cytosol	Cytoplasm	Non-secretome
Wdr7	1489	Nucleoplasm	Nucleoplasm	Non-secretome
Rpl27	136	Cytosol	Cytoplasm	Non-secretome
Akap17b	959	Nucleus	Nucleus speckle	Non-secretome
Man2a2	1152	Golgi	Golgi apparatus membrane	Non-secretome
Iah1	249	Nucleoplasm	Nucleoplasm	Non-secretome
Map3k13	959	Other	Cytoplasm Membrane	Non-secretome
Hdac7	938	Other	Nucleus Cytoplasm	Non-secretome
Igsf6	237	Unknown	Membrane	Non-secretome
Ap3d1	1199	Cytosol	Cytoplasm	Non-secretome
Greb1l	1913	Unknown	Membrane	Non-secretome
Ntpcr	190	Cytosol	Cytosol	Non-secretome
Fdxr	494	Other	Mitochondrion inner membrane	Non-secretome
Micu1	477	Other	Mitochondrion inner membrane	Non-secretome
Fkbp10	581	ER	Endoplasmic reticulum lumen	Non-secretome
Cdkn2a	168	Cytosol	Cytoplasm	Non-secretome
Lhx9	397	Nucleus	Nucleus	Non-secretome
Tnc	2110	Secreted	Secreted	Non-secretome
Iqcd	458	Cytosol	Cytoplasm	Non-secretome
Cela2a	271	Secreted	Secreted	Non-secretome
Hba	142	Other	cytoplasm	Non-secretome
Sprr2b	98	Cytosol	Cytoplasm	Non-secretome
Prr29	187	Nucleoli	Nucleoli	Non-secretome
Lmntd2	664	Cytosol	Cytoplasmic bodies	Non-secretome
Gdnf	211	Secreted	Secreted	Non-secretome
Lipt2	231	Other	Mitochondrion	Non-secretome
Olfr9	312	Plasma membrane	Cell membrane	Non-secretome
Atp5pd	161	Other	Mitochondrion Mitochondrion inner membrane	Non-secretome
Aco2	780	Other	Mitochondrion	Non-secretome
Kctd3	815	Plasma membrane	Cell membrane	Non-secretome
Spart	671	Cytosol	Cytoplasm	Non-secretome
Rasgef1c	466	Mitochondria	Mitochondria	Non-secretome
Cand2	1235	Nucleus	Nucleus	Non-secretome
Mup4	178	Secreted	Secreted	Non-secretome
Cd302	228	Unknown	Membrane	Non-secretome
Sec31a	1230	Cytosol	Cytoplasm	Non-secretome
Ddias	898	Cytosol	Cytoplasm	Non-secretome
Helq	1069	Nuclear speckles	Nuclear speckles	Non-secretome
Cdkl3	595	Cytosol	Cytoplasm	Non-secretome
Vxn	207	Plasma membrane	Cell membrane	Non-secretome
Grpel2	224	Other	Mitochondrion matrix	Non-secretome
Prss55	321	Plasma membrane	Cell membrane	Non-secretome
Efna2	209	Plasma membrane	Cell membrane	Non-secretome
Abcc10	1501	Plasma membrane	Cell membrane	Non-secretome
Wdr91	748	Unknown	Early endosome membrane	Non-secretome
Tent4a	542	Cytosol	Cytoplasm	Non-secretome
Bcl10	233	Cytosol	Cytoplasm	Non-secretome
Svop	548	Cytosol	Cytoplasmic vesicle	Non-secretome
Slc39a7	476	ER	Endoplasmic reticulum membrane	Non-secretome
Fcho2	809	Unknown	Membrane	Non-secretome
Ldb1	411	Nucleus	Nucleus	Non-secretome
Pgm3	542	Unknown	Cytosol	Non-secretome
Wtip	398	Plasma membrane	Cell junction	Non-secretome
Smap2	428	Cytosol	Cytoplasm	Non-secretome
Gbgt1	347	Golgi	Golgi apparatus membrane	Non-secretome
Sypl2	264	Unknown	Membrane	Non-secretome
Slc7a7	510	Plasma membrane	Basolateral cell membrane	Non-secretome
Rbmy1b	380	Nucleus	Nucleus	Non-secretome
Rras2	204	Plasma membrane	Cell membrane	Non-secretome
Ip6k1	433	Cytosol	Cytoplasm	Non-secretome
Nppc	126	Secreted	Secreted	Non-secretome
Cst8	142	Secreted	Secreted	Non-secretome
Hspb3	154	Cytosol	Cytoplasm	Non-secretome
Pcyox1l	495	Secreted	Secreted	Non-secretome
Mrpl42	142	Other	Mitochondrion	Non-secretome
Igkc	107	Secreted plasma	Plasma	Non-secretome
Cbarp	698	Cytosol	Cytoplasmic vesicle	Non-secretome
Anks4b	423	Unknown	Cell projection	Non-secretome
Syngap1	1340	Unknown	Membrane	Non-secretome
Lmo2	158	Nucleus	Nucleus	Non-secretome
Ror2	944	Plasma membrane	Cell membrane	Non-secretome
Prom1	867	Plasma membrane	Apical cell membrane	Non-secretome
Oxtr	388	Plasma membrane	Cell membrane	Non-secretome
Mrto4	239	Nucleus	Nucleus	Non-secretome
Dmxl1	3013	Nucleoli	Nucleoli	Non-secretome
Cbln4	198	Secreted	Secreted	Non-secretome
Cacna1h	2365	Plasma membrane	Cell membrane	Non-secretome
Ptpn2	406	ER	Endoplasmic reticulum	Non-secretome
Edf1	148	Cytosol	Cytoplasm	Non-secretome
Slc37a2	501	ER	Endoplasmic reticulum membrane	Non-secretome
Rhbdl1	373	Unknown	Membrane	Non-secretome
Ccnt2	723	Cytosol	Cytoplasm	Non-secretome
Brs3	399	Plasma membrane	Cell membrane	Non-secretome
Dgke	564	Unknown	Membrane	Non-secretome
Olfr5	312	Plasma membrane	Cell membrane	Non-secretome
Fam110a	296	Other	Cytoplasm Cytoplasm	Non-secretome
Dnajb11	358	ER	Endoplasmic reticulum lumen	Non-secretome
Minar1	917	Plasma membrane	Cell membrane	Non-secretome
Ephb2	986	Plasma membrane	Cell membrane	Non-secretome
Aarsd1	412	Cytosol	Cytoplasm	Non-secretome
Tnip1	647	Cytosol	Cytoplasm	Non-secretome
Spdya	310	Nucleus	Nucleus	Non-secretome
Anapc4	807	Nucleus	Nucleus	Non-secretome
Ap1s3	154	Other	Golgi apparatus Cytoplasmic vesicle membrane	Non-secretome
Slc6a9	692	Unknown	Membrane	Non-secretome
Fbxl15	300	Cytosol	Cytoplasm	Non-secretome
Itga7	1179	Unknown	Membrane	Non-secretome
Akap7	314	Nucleus	Nucleus	Non-secretome
Dlg3	849	Nucleoplasm	Nucleoplasm	Non-secretome
Socs6	533	Nuclear speckles	Nuclear speckles	Non-secretome
Cep68	733	Cytosol	Cytoplasm	Non-secretome
Mos	343	Unknown	Unknown	Non-secretome
Tepp	216	Secreted	Secreted	Non-secretome
Letmd1	360	Other	Mitochondrion outer membrane	Non-secretome
Agrp	131	Secreted	Secreted	Non-secretome
Skint10	354	Unknown	Membrane	Non-secretome
