Gene_Symbol	Protein_length	Division	Category	Secretome
GP2	537	Membrane	Zymogen granule membrane	Digestive system
SYCN	134	Membrane	Zymogen granule membrane	Intracellular and membrane
ERVW-1	538	Unknown	Virion	Non-secretome
ERVFC1-1	527	Unknown	Virion	Non-secretome
ERVK11-1	191	Unknown	Virion	Non-secretome
PCDH17	1159	Vesicles	Vesicles	Non-secretome
SYK	635	Cell membrane	Vesicles	Non-secretome
PTPRB	1997	Membrane	Vesicles	Non-secretome
CAVIN1	390	Membrane	Vesicles	Non-secretome
GNG2	71	Cell membrane	Vesicles	Non-secretome
IQGAP2	1575	Cytoplasm	Vesicles	Non-secretome
LRP11	500	Membrane	Vesicles	Non-secretome
LRRC15	581	Membrane	Vesicles	Non-secretome
NPL	320	Cytoplasm	Vesicles	Non-secretome
SIGLEC14	396	Vesicles	Vesicles	Non-secretome
TACC3	838	Cytoplasm	Vesicles	Non-secretome
DNAJA3	480	Mitochondrion	Vesicles	Non-secretome
LRP2	4655	Membrane	Vesicles	Non-secretome
DEFA5	94	Secreted	Vesicles	Digestive system
CA11	328	Vesicles	Vesicles	Brain
CREG1	220	Secreted	Vesicles	Blood
ACOX2	681	Peroxisome	Vesicles	Non-secretome
ALG13	1137	Endoplasmic reticulum	Vesicles	Non-secretome
APOA1	267	Secreted	Vesicles	Blood
APOB	4563	Cytoplasm	Vesicles	Blood
DNM1L	736	Cytoplasm	Vesicles	Non-secretome
EFNA5	228	Cell membrane	Vesicles	Non-secretome
GM2A	193	Lysosome	Vesicles	Intracellular and membrane
GSTM2	218	Cytoplasm	Vesicles	Non-secretome
JAG2	1238	Membrane	Vesicles	Non-secretome
LECT2	151	Secreted	Vesicles	Blood
LSMEM1	131	Membrane	Vesicles	Non-secretome
MSMP	139	Secreted	Vesicles	Secreted-other tissues
NTRK1	796	Cell membrane	Vesicles	Non-secretome
OXLD1	147	Other	Vesicles	Non-secretome
PITPNA	270	Cytoplasm	Vesicles	Non-secretome
PLA2G4A	749	Cytoplasm	Vesicles	Non-secretome
PRKG1	671	Cytoplasm	Vesicles	Non-secretome
PRTN3	256	Lysosome	Vesicles	Blood
PSMB10	273	Cytoplasm	Vesicles	Non-secretome
PTPRZ1	2315	Cell membrane	Vesicles	Brain
SCRN3	424	Other	Vesicles	Non-secretome
TDRP	185	Nucleus	Vesicles	Non-secretome
TNNI3	210	Cytoplasm	Vesicles	Non-secretome
CLSTN2	955	Cell membrane	Vesicles	Non-secretome
HK2	917	Mitochondrion	Vesicles	Non-secretome
VPS37A	397	Endosome	Vesicles	Non-secretome
EXTL1	676	Endoplasmic reticulum	Vesicles	Intracellular and membrane
ASGR1	291	Membrane	Vesicles	Blood
BBOX1	387	Cytoplasm	Vesicles	Non-secretome
